Statistic,Rank,Player,Squad,Value
Performance-GA,Top 2,Wes Foderingham,Sheffield Utd,79.0
Performance-GA,Top 3,Mark Flekken,Brentford,63.0
Performance-GA,Bottom 1,Thomas Strakosha,Brentford,2.0
Performance-GA,Bottom 2,Aaron Ramsdale,Arsenal,5.0
Performance-GA,Bottom 3,Mark Travers,Bournemouth,5.0
Performance-GA90,Top 1,Ionuț Radu,Bournemouth,3.5
Performance-GA90,Top 2,Ivo Grbić,Sheffield Utd,2.92
Performance-GA90,Top 3,Robin Olsen,Aston Villa,2.89
Performance-GA90,Bottom 1,David Raya,Arsenal,0.75
Performance-GA90,Bottom 2,Aaron Ramsdale,Arsenal,0.83
Performance-GA90,Bottom 3,Ederson,Manchester City,0.87
Performance-SoTA,Top 1,Thomas Kaminski,Luton Town,221.0
Performance-SoTA,Top 2,Wes Foderingham,Sheffield Utd,204.0
Performance-SoTA,Top 3,André Onana,Manchester Utd,203.0
Performance-SoTA,Bottom 1,Thomas Strakosha,Brentford,8.0
Performance-SoTA,Bottom 2,Ionuț Radu,Bournemouth,11.0
Performance-SoTA,Bottom 3,Aaron Ramsdale,Arsenal,14.0
Performance-Saves,Top 1,André Onana,Manchester Utd,146.0
Performance-Saves,Top 2,Thomas Kaminski,Luton Town,140.0
Performance-Saves,Top 3,Alphonse Areola,West Ham,136.0
Performance-Saves,Bottom 1,Ionuț Radu,Bournemouth,4.0
Performance-Saves,Bottom 2,Thomas Strakosha,Brentford,6.0
Performance-Saves,Bottom 3,Daniel Bentley,Wolves,8.0
Performance-Save%,Top 1,Arijanet Muric,Burnley,80.8
Performance-Save%,Top 2,Mark Travers,Bournemouth,77.8
Performance-Save%,Top 3,Thomas Strakosha,Brentford,75.0
Performance-Save%,Bottom 1,Ionuț Radu,Bournemouth,36.4
Performance-Save%,Bottom 2,Odisseas Vlachodimos,Nott'ham Forest,50.0
Performance-Save%,Bottom 3,Daniel Bentley,Wolves,53.3
Performance-W,Top 1,Ederson,Manchester City,24.0
Performance-W,Top 2,David Raya,Arsenal,23.0
Performance-W,Top 3,Guglielmo Vicario,Tottenham,20.0
Performance-W,Bottom 1,Ivo Grbić,Sheffield Utd,0.0
Performance-W,Bottom 2,Thomas Strakosha,Brentford,0.0
Performance-W,Bottom 3,Daniel Bentley,Wolves,1.0
Performance-D,Top 1,Alphonse Areola,West Ham,9.0
Performance-D,Top 2,Jordan Pickford,Everton,9.0
